ra,dec,TIC,2mass_id,KIC,Reinhold,McQuillan,Claytor ,Oelkers,Newton 2016,Newton 2018,Bouma,Walkowicz
285.2537555,46.5822183,164892125,19010087+4634558,9758089,,,,,,,21.07,43.97
296.6939428,42.6261145,272708868,19464654+4237339,7135852,,,,,,,38.77,43.97
289.3945523,41.7822597,122066892,19173473+4146564,6356692,,,,,,,,43.9
283.5653603,46.9042278,164525875,18541567+4654153,9995402,,,,,,,33.99,42.72
290.9833818,45.9733334,159581842,19235599+4558238,9401997,,,,,,,31,42.72
296.0322,42.1317392,272180958,19440772+4207540,6707835,,,,,,,28.32,42.7
291.0926509,49.1901729,350810654,19242225+4911242,11348997,,,,,,,36.17,41.54
293.6856893,48.8249915,26962715,19344457+4849305,11194032,,,,,,,38.77,41.54
295.9206663,47.4486164,272078218,19434095+4726550,10350571,,,,,,,44.79,41.54
299.2681646,45.2272852,268713285,19570433+4513387,8978528,,,,,,,,41.54
285.9287514,38.5207097,120693011,19034293+3831155,3426367,,,,,,,33.06,41.54
292.7700072,48.8998469,26749051,19310478+4853586,11192235,,,,,,,34.46,40.42
290.4015156,48.8227234,407001589,19213636+4849213,11187837,,,,,,,,40.42
281.0503476,47.1882005,123206821,18441202+4711173,10118816,,,,,,,39.86,40.42
283.8659676,46.7896522,164558468,18552784+4647225,9875711,,,,,,,39.59,40.42
295.8215678,46.0530562,271881331,19431714+4603109,9475552,,,,,,,42.13,40.42
286.0790779,39.278237,120765183,19041898+3916419,4139816,,,,,,,38.77,40.42
292.6585253,38.3455558,137686948,19303802+3820434,3239945,,,,,,,,40.42
285.5743032,49.9621218,350814495,19021784+4957441,11752906,,,,,,,37.71,39.36
286.5400278,49.4372614,243271945,19060960+4926143,11497958,,,,,,,,39.36
287.6572346,48.9822053,298785034,19103777+4858557,11236244,,,,,,,,39.36
286.3718158,43.692081,158219569,19052923+4341309,7877978,,,,,,,40.7,39.36
292.9131121,41.0609786,137899939,19313914+4103393,5794379,,,,,,,,39.36
299.1393094,40.948939,171882123,19563341+4056564,5735762,,,,,,,38.35,39.36
296.2220259,50.2873626,27776674,19445327+5017139,11923270,,,,,,,36.17,38.35
296.1512831,50.0957806,27767452,19443633+5005449,11823054,,,,,,,,38.35
283.5048144,49.4509371,48352404,18540115+4927036,11493431,,,,,,,,38.35
297.8423073,46.5743595,273590427,19512217+4634273,9787239,,,,,,,36.94,38.35
300.6196594,45.7888068,240219049,20022872+4547201,9307509,,,,,,,,38.35
290.54851,38.4952415,122450762,19221165+3829430,3338885,,,,,,,39.31,38.35
298.4656275,48.5593334,267989857,19535179+4833338,11046025,,,,,,,36.93,37.4
283.7407247,47.5161237,164557035,18545777+4730586,10388286,,,,,,,36.93,37.4
299.3814921,45.5920846,268712158,19573158+4535320,9177629,,,,,,,37.97,37.4
290.39624,41.0399229,122442334,19213508+4102242,5786676,,,,,,,35.19,37.4
288.8744026,51.1542215,299089587,19152984+5109148,12352520,,,,,,,35.68,36.49
286.2498525,48.0609256,405719849,19045995+4803393,10718726,,,,,,,37.14,36.49
285.3913092,46.1809293,351909600,19013391+4610513,9513865,,,,,,,33.05,36.49
294.009397,42.8807779,270782121,19360227+4252507,7289317,,,,,,,,36.49
291.1587635,40.7502108,122712446,19243810+4045009,5531576,,,,,,,31.06,36.49
289.2906978,51.4089936,299217801,19170975+5124320,12506770,,,,,,,,35.62
295.8161668,51.1217249,27686898,19431587+5107182,12366084,,,,,,,,35.62
298.3266169,45.3154212,274020852,19531838+4518558,9044228,,,,,,,35.92,35.62
282.4681674,43.8899464,123490444,18495234+4353236,8008206,,,,,,,28.19,35.62
287.1428295,43.6161177,158389981,19083424+4336577,7879433,,,,,,,31.06,35.62
