file,ticid,sector,cadence,best_period_days,max_power,amplitude_percent,peak1_period,peak2_period,peak3_period,peak4_period,peak5_period,peak1_power,peak2_power,peak3_power,peak4_power,peak5_power,power_pass,ref_period,period_agree,power_and_agree,double_dipper,true_period_d
tess2018206045859-s0001-0000000144065872-0120-s_lc.fits,144065872,1,slow,9.312074307,0.114248943,0.22878826,9.312074307,6.068884811,4.360418024,3.671389971,3.321485217,0.114248943,0.031475054,0.019586178,0.014068846,0.010133093,TRUE,9.312074307,TRUE,TRUE,FALSE,9.312074307
tess2018206045859-s0001-0000000201248411-0120-s_lc.fits,201248411,1,slow,6.068934604,0.421050464,0.64653873,6.068934604,4.360458187,12.70754734,2.73502547,3.099936811,0.421050464,0.154997723,0.081526182,0.020094962,0.0064739,TRUE,6.068934604,TRUE,TRUE,FALSE,6.068934604
tess2018206045859-s0001-0000000279741379-0120-s_lc.fits,279741379,1,slow,8.729041782,0.159915788,0.12750626,8.729041782,3.402590168,2.582996528,4.651445086,1.380653867,0.159915788,0.02547878,0.015369894,0.011353133,0.010783526,TRUE,8.400414863,TRUE,TRUE,FALSE,8.729041782
tess2018206045859-s0001-0000000299798795-0120-s_lc.fits,299798795,1,slow,1.233963551,0.717290421,1.6442436,1.233963551,0.61418201,1.452546132,1.072561897,1.621505694,0.717290421,0.039264044,0.019035058,0.018714225,0.01083378,TRUE,1.235249701,TRUE,TRUE,FALSE,1.233963551
tess2018206045859-s0001-0000000391903064-0120-s_lc.fits,391903064,1,slow,3.321428393,0.958045181,4.38301086,3.321428393,3.986283549,5.582711344,2.846648144,9.978540451,0.958045181,0.075622878,0.059854099,0.058872618,0.043316064,TRUE,3.354253434,TRUE,TRUE,FALSE,3.321428393
tess2018206045859-s0001-0000000410214986-0120-s_lc.fits,410214986,1,slow,2.846677575,0.621229763,3.61047983,2.846677575,3.321461783,1.811120041,1.40852735,2.11311017,0.621229763,0.122943933,0.062987539,0.031975626,0.01820406,TRUE,2.933234909,TRUE,TRUE,FALSE,2.846677575
tess2018206045859-s0001-0000000441420236-0120-s_lc.fits,441420236,1,slow,4.878795942,0.65017882,3.98113489,4.878795942,2.429582131,3.896739412,6.52262946,3.026456852,0.65017882,0.242512527,0.048846529,0.047523602,0.044351443,TRUE,4.818913113,TRUE,TRUE,FALSE,4.878795942
tess2018234235059-s0002-0000000009006668-0121-s_lc.fits,9006668,2,slow,12.62765713,0.096631549,0.2910006,12.62765713,6.902665361,5.103179433,3.526963266,4.171130658,0.096631549,0.059444708,0.057249018,0.019068268,0.007831729,TRUE,12.62765713,TRUE,TRUE,FALSE,12.62765713
tess2018234235059-s0002-0000000077044471-0121-s_lc.fits,77044471,2,slow,5.745072161,0.082979977,2.31879473,5.745072161,12.62768005,4.441549344,3.2741561,1.332291233,0.082979977,0.031677949,0.024098822,0.005965659,0.004198,TRUE,5.745072161,TRUE,TRUE,FALSE,5.745072161
tess2018234235059-s0002-0000000183532609-0121-s_lc.fits,183532609,2,slow,7.676026793,0.349157703,0.32835484,7.676026793,5.300594587,13.9094863,4.30209588,3.718387046,0.349157703,0.187933321,0.076688521,0.059042179,0.019264706,TRUE,7.491309406,TRUE,TRUE,FALSE,7.676026793
tess2018234235059-s0002-0000000224225541-0121-s_lc.fits,224225541,2,slow,3.822072561,0.802378472,1.71009898,3.822072561,4.919923008,3.197715832,1.855435217,2.592675876,0.802378472,0.144995239,0.066769723,0.030791037,0.025560443,TRUE,3.802507375,TRUE,TRUE,FALSE,3.822072561
tess2018234235059-s0002-0000000382626661-0121-s_lc.fits,382626661,2,slow,13.74408249,0.085961388,0.22984326,13.74408249,7.945212901,5.835016465,4.610498344,2.712819349,0.085961388,0.047228052,0.018162779,0.005063665,0.003698744,TRUE,13.74408249,TRUE,TRUE,FALSE,13.74408249
tess2018234235059-s0002-0000000391903064-0121-s_lc.fits,391903064,2,slow,3.329482942,0.953968855,5.58250666,3.329482942,2.829247836,4.17263406,6.105227436,1.721055002,0.953968855,0.078056316,0.074472667,0.027786126,0.022020291,TRUE,3.354253434,TRUE,TRUE,FALSE,3.329482942
tess2018263035959-s0003-0000000200723869-0123-s_lc.fits,200723869,3,slow,5.051911748,0.059171013,0.06975412,5.051911748,3.745517479,2.59509937,2.249619357,1.841113532,0.059171013,0.036219933,0.034867748,0.017464976,0.014219695,TRUE,5.051911748,TRUE,TRUE,FALSE,5.051911748
tess2018263035959-s0003-0000000207141131-0123-s_lc.fits,207141131,3,slow,8.400430568,0.419355441,0.67396879,8.400430568,4.394921879,2.975932361,2.530315802,1.875150174,0.419355441,0.383070253,0.05322034,0.034085137,0.010693702,TRUE,8.602595099,TRUE,TRUE,FALSE,8.400430568
tess2018263035959-s0003-0000000279741379-0123-s_lc.fits,279741379,3,slow,8.400414863,0.307147877,0.1095593,8.400414863,5.316788069,3.371798337,2.530308677,4.04429124,0.307147877,0.277803104,0.02029031,0.016237776,0.016181674,TRUE,8.400414863,TRUE,TRUE,FALSE,8.400414863
tess2018263035959-s0003-0000000309792357-0123-s_lc.fits,309792357,3,slow,11.17921522,0.068621039,0.26213646,11.17921522,5.939824162,2.154044176,3.263322419,2.468736804,0.068621039,0.049323998,0.006930488,0.00584424,0.005337283,TRUE,12.17412963,TRUE,TRUE,FALSE,11.17921522
tess2018263035959-s0003-0000000391903064-0123-s_lc.fits,391903064,3,slow,3.371782127,0.944384503,5.52040577,3.371782127,2.73507111,4.394890997,1.716411751,2.109188484,0.944384503,0.157453669,0.144570654,0.057279499,0.046221796,TRUE,3.354253434,TRUE,TRUE,FALSE,3.371782127
tess2018292075959-s0004-0000000004646810-0124-s_lc.fits,4646810,4,slow,11.2298816,0.68292434,0.31427741,11.2298816,6.958190671,4.672849979,3.833475025,3.249731988,0.68292434,0.315422722,0.02594393,0.023715275,0.02186721,TRUE,11.2298816,TRUE,TRUE,FALSE,11.2298816
tess2018292075959-s0004-0000000029960110-0124-s_lc.fits,29960110,4,slow,11.22215125,0.209788894,0.67468107,11.22215125,7.35073359,3.828613466,5.465310732,3.245462108,0.209788894,0.107357439,0.024038533,0.023257228,0.013132697,TRUE,11.22215125,TRUE,TRUE,FALSE,11.22215125
tess2018292075959-s0004-0000000055652896-0124-s_lc.fits,55652896,4,slow,6.57869955,0.057471278,0.6231916,6.57869955,12.28706861,4.655959942,3.707759715,2.938376467,0.057471278,0.05168475,0.010805879,0.005356609,0.003742554,TRUE,6.57869955,TRUE,TRUE,TRUE,12.28706861
tess2018292075959-s0004-0000000098796344-0124-s_lc.fits,98796344,4,slow,1.400927637,0.64209903,0.6736052,1.400927637,4.508355755,1.072408519,5.715821246,1.226486648,0.64209903,0.040474438,0.031927627,0.027095129,0.026440091,TRUE,1.407134911,TRUE,TRUE,FALSE,1.400927637
tess2018292075959-s0004-0000000178155732-0124-s_lc.fits,178155732,4,slow,3.088487427,0.052363627,0.05045235,3.088487427,2.641730792,3.512824382,1.446268243,5.034610288,0.052363627,0.038620709,0.032706061,0.030524923,0.010155713,TRUE,3.088487427,TRUE,TRUE,FALSE,3.088487427
tess2018292075959-s0004-0000000179034327-0124-s_lc.fits,179034327,4,slow,12.29207951,0.502829527,0.72700262,12.29207951,5.700838283,7.78919331,3.413117246,2.692730158,0.502829527,0.278248032,0.210842837,0.076904667,0.072998198,TRUE,12.29207951,TRUE,TRUE,FALSE,12.29207951
