file,ticid,sector,cadence,best_period_days,max_power,amplitude_percent,peak1_period,peak2_period,peak3_period,peak4_period,peak5_period,peak1_power,peak2_power,peak3_power,peak4_power,peak5_power,power_pass,period_agree,ref_period,power_and_agree,double_dipper
tess2018206045859-s0001-0000000299798795-0120-s_lc.fits,299798795,1,slow,1.233963551,0.5405235571,1.66183293,1.233963551,0.6141820101,1.072561897,1.452546132,0.866005338,0.5405235571,0.04213965888,0.01909601341,0.01475436714,0.01090401304,TRUE,TRUE,1.228666162,TRUE,FALSE
tess2018206045859-s0001-0000000299799658-0120-s_lc.fits,299799658,1,slow,4.983954089,0.005193433407,0.19647956,4.983954089,13.98199391,1.367083298,3.170373898,0.1008716432,0.005193433407,0.002873141421,0.00127724864,0.001241014636,0.0009517700971,FALSE,FALSE,8.64536327,FALSE,TRUE
tess2018206045859-s0001-0000000394357918-0120-s_lc.fits,394357918,1,slow,3.032436078,0.001041488253,3.98817718,3.032436078,3.577137584,0.1381619591,0.2959875613,7.757417026,0.001041488253,0.0009869779428,0.0007745022205,0.0007587926488,0.0006966527469,FALSE,FALSE,6.419231756,FALSE,TRUE
tess2018263035959-s0003-0000000122612091-0123-s_lc.fits,122612091,3,slow,2.200817047,0.05828163972,0.3755033,2.200817047,1.11333184,0.5538366086,0.7397020152,0.3699448374,0.05828163972,0.0474556304,0.04113635919,0.03488785763,0.03388390154,TRUE,TRUE,2.200817047,TRUE,TRUE
tess2018263035959-s0003-0000000166836920-0123-s_lc.fits,166836920,3,slow,1.151234165,0.07336670306,0.17068088,1.151234165,0.9649670322,0.8238320074,1.446972491,2.891080423,0.07336670306,0.07270122481,0.06421840072,0.06312835262,0.05936078302,TRUE,TRUE,1.151234165,TRUE,TRUE
tess2018292075959-s0004-0000000004646810-0124-s_lc.fits,4646810,4,slow,11.2298816,0.6822595362,0.3143847,11.2298816,6.958190671,4.672849979,3.833475025,3.249731988,0.6822595362,0.3159574346,0.02540672316,0.02348171914,0.02239446525,TRUE,TRUE,11.2298816,TRUE,FALSE
tess2018292075959-s0004-0000000029960110-0124-s_lc.fits,29960110,4,slow,11.22241877,0.210919488,0.67762256,11.22241877,7.35098611,3.828781614,5.465526468,3.245609785,0.210919488,0.1088434799,0.0249512166,0.02421964752,0.01326201844,TRUE,TRUE,11.22241877,TRUE,TRUE
tess2018292075959-s0004-0000000035857242-0124-s_lc.fits,35857242,4,slow,1.818269532,0.0313327254,0.58233142,1.818269532,1.214481785,0.9052792443,0.5195073708,0.6083963212,0.0313327254,0.02502280098,0.02270018222,0.0201359551,0.01979225948,FALSE,TRUE,1.818269532,FALSE,TRUE
tess2018292075959-s0004-0000000122612091-0124-s_lc.fits,122612091,4,slow,2.224878053,0.0529792831,0.35904765,2.224878053,1.10649591,0.5541690744,0.7406242328,0.4427140216,0.0529792831,0.04733424179,0.03585787961,0.03362268162,0.02963908247,TRUE,TRUE,2.200817047,TRUE,TRUE
tess2018292075959-s0004-0000000178155732-0124-s_lc.fits,178155732,4,slow,3.088487427,0.05219022547,0.05108714,3.088487427,2.641730792,3.512824382,1.462817465,1.286205429,0.05219022547,0.04061761445,0.03473023086,0.03043483377,0.0106192621,TRUE,TRUE,3.088487427,TRUE,TRUE
tess2018292075959-s0004-0000000382391899-0124-s_lc.fits,382391899,4,slow,5.455828791,0.04741941086,0.59687853,5.455828791,1.950856247,0.4879588501,0.3258781954,0.390778843,0.04741941086,0.04106673382,0.03729141946,0.03477533025,0.03465636565,FALSE,TRUE,5.455828791,FALSE,TRUE
tess2018292075959-s0004-0000000439867639-0124-s_lc.fits,439867639,4,slow,3.168032473,0.003788816102,1.73906088,3.168032473,3.72060724,11.22754497,4.671151016,5.469661659,0.003788816102,0.003629958583,0.002741878859,0.002107598053,0.001252962509,FALSE,TRUE,3.168032473,FALSE,TRUE
tess2019169103026-s0013-0000000299798795-0146-s_lc.fits,299798795,13,slow,1.224550239,0.2553530626,1.07702553,1.224550239,0.6125628312,1.449217585,1.068157033,0.410799373,0.2553530626,0.02400554221,0.01350931711,0.007192417421,0.005418854742,TRUE,TRUE,1.228666162,TRUE,FALSE
tess2019169103026-s0013-0000000299799658-0146-s_lc.fits,299799658,13,slow,5.662567967,0.005529424117,0.20034194,5.662567967,3.083599175,10.84605279,2.728544196,2.028010367,0.005529424117,0.005400402066,0.00482270117,0.004391481756,0.001974504671,FALSE,FALSE,8.64536327,FALSE,TRUE
tess2019306063752-s0018-0000000302773669-0162-s_lc.fits,302773669,18,slow,6.575320594,0.02725737852,0.10332108,6.575320594,2.181808549,3.934410568,1.17694588,1.47163351,0.02725737852,0.02413964895,0.02338803761,0.01655454033,0.01633093692,FALSE,TRUE,6.575320594,FALSE,TRUE
tess2019306063752-s0018-0000000408618999-0162-s_lc.fits,408618999,18,slow,10.80672604,0.01953801903,0.12544513,10.80672604,5.373112037,4.725164106,2.404998436,0.7843094509,0.01953801903,0.005075393731,0.004780519956,0.003843817274,0.003485800781,FALSE,TRUE,10.50727817,FALSE,FALSE
tess2019306063752-s0018-0000000436873727-0162-s_lc.fits,436873727,18,slow,1.015885,0.4594631349,0.14448762,1.015885,0.5099919622,0.8869462109,1.432332345,1.200703611,0.4594631349,0.05480148914,0.0283952987,0.01451391819,0.01233067916,TRUE,TRUE,1.015885,TRUE,FALSE
tess2019331140908-s0019-0000000302773669-0164-s_lc.fits,302773669,19,slow,2.006203452,0.01198704979,0.08894086,2.006203452,4.270102123,1.368571299,1.59595616,0.6669035621,0.01198704979,0.01167503936,0.01020269958,0.009248239575,0.007665631701,FALSE,FALSE,6.575320594,FALSE,TRUE
tess2019331140908-s0019-0000000408618999-0164-s_lc.fits,408618999,19,slow,2.26040763,0.002333853691,0.11824131,2.26040763,0.2725039109,12.19029096,1.704901015,1.284126801,0.002333853691,0.001407675534,0.001276032013,0.001222500863,0.001097313941,FALSE,FALSE,10.50727817,FALSE,TRUE
tess2020133194932-s0025-0000000302773669-0182-s_lc.fits,302773669,25,slow,4.516873816,0.01293218305,0.09665489,4.516873816,2.358789235,1.70198911,1.485345899,0.6100269527,0.01293218305,0.008968753213,0.007150248522,0.007017113644,0.006724720777,FALSE,FALSE,6.575320594,FALSE,TRUE
